BANNER_ID,_CUSTOMER1_FISCHER_GROUPS_BY_USER.GROUP_EMAIL,_CUSTOMER1_FISCHER_ROLES_ALUM_VIEW.ROLE
A00000510,null,ALUM
A00001840,null,ALUM
B00489574,"depts-fa-fac,depts-mus-fac,depts-fa-fac,depts-mus-fac",null
B00308714,null,ALUM
A00000515,null,ALUM
B00488234,null,ALUM
B00368390,null,ALUM
B00343096,null,ALUM
A00000501,null,ALUM
B00886539,null,ALUM
B00367049,null,ALUM
B00395974,null,ALUM
B00367048,null,ALUM
A00289701,null,ALUM
B00370697,null,ALUM
A00000506,null,ALUM
B00488231,"depts-oia-staff,bannerusers,depts-oia-staff,bannerusers",null
B00489562,depts-educ-staff,null
B00178704,null,ALUM
B00214902,null,ALUM
B00489561,depts-cpsy-staff,null
A00000503,null,ALUM
B00489556,"depts-nsm-fac,depts-chph-fac,depts-nsm-fac,depts-chph-fac",null
B00139147,null,ALUM
B00489553,"depts-hist-fac,depts-sosc-fac,depts-hist-fac,depts-sosc-fac",null
B00489559,depts-bus-fac,null
B00489557,"depts-hist-fac,depts-sosc-fac,depts-hist-fac,depts-sosc-fac",null
B00139141,depts-educ-fac,ALUM
B00166738,null,ALUM
B00380011,null,ALUM
B00071944,null,ALUM
A00000578,null,ALUM
A00000577,null,ALUM
A00434932,null,ALUM
B00128414,null,ALUM
A00409974,null,ALUM
A00000573,null,ALUM
A00000572,null,ALUM
A00408641,null,ALUM
A00000571,null,ALUM
A00289752,null,ALUM
B00464252,null,ALUM
B00488213,"bannerusers,depts-csac-staff,bannerusers,depts-csac-staff",ALUM
B00548213,"depts-fa-staff,depts-mus-staff,depts-fa-staff,depts-mus-staff",null
A00419301,null,ALUM
B00849566,null,ALUM
B00297274,null,ALUM
B00440274,null,ALUM
B00488216,null,ALUM
A00000581,null,ALUM
A00000580,null,ALUM
B00380042,null,ALUM
A00000567,null,ALUM
A00001898,null,ALUM
A00000566,null,ALUM
A00000565,null,ALUM
B00452279,depts-aper-staff,null
A00408631,null,ALUM
B00393371,null,ALUM
B00082618,null,ALUM
A00434929,null,ALUM
A00000568,null,ALUM
B00440267,null,ALUM
B00380035,null,ALUM
B00489537,"depts-soan-fac,depts-sosc-fac,depts-soan-fac,depts-sosc-fac",null
A00422951,null,ALUM
B00489536,"depts-mbpp-fac,depts-bus-fac,depts-mbpp-fac,depts-bus-fac",null
B00791772,null,ALUM
B00837596,null,ALUM
B00849573,null,ALUM
B00837598,null,ALUM
B00367075,null,ALUM
A00012547,null,ALUM
A00408627,null,ALUM
A00000554,null,ALUM
A00025812,null,ALUM
A00407333,null,ALUM
B00127142,null,ALUM
B00452241,null,ALUM
B00225600,null,ALUM
B00464225,null,ALUM
B00489520,"depts-mbpp-staff,depts-sosc-staff,bannerusers,depts-bus-staff,depts-econ-staff,depts-mbpp-staff,depts-sosc-staff,bannerusers,depts-bus-staff,depts-econ-staff",null
B00297298,null,ALUM
B00849586,depts-educ-fac,ALUM
B00225601,null,ALUM
A00289744,null,ALUM
A00000544,null,ALUM
A00407328,null,ALUM
B00465570,null,ALUM
B00055160,null,ALUM
B00392021,null,ALUM
A00000548,null,ALUM
B00142745,null,ALUM
B00465568,null,ALUM
B00489516,"depts-sosc-fac,depts-wmst-fac,depts-sosc-fac,depts-wmst-fac",null
B00489515,depts-sosc-fac,null
B00141418,null,ALUM
B00489513,depts-educ-fac,null
B00862551,null,ALUM
B00043182,null,ALUM
B00849592,null,ALUM
B00381384,null,ALUM
B00043166,null,ALUM
A00397466,null,ALUM
A00407233,null,ALUM
B00285254,null,ALUM
B00261288,null,ALUM
B00850626,null,ALUM
B00083973,null,ALUM
B00850628,null,ALUM
B00850627,null,ALUM
B00261290,null,ALUM
A00419225,null,ALUM
B00370729,null,ALUM
B00297237,null,ALUM
B00343112,null,ALUM
B00082659,null,ALUM
B00549579,null,ALUM
B00849657,null,ALUM
B00031183,null,ALUM
A00419232,null,ALUM
A00421549,null,ALUM
A00407259,null,ALUM
B00369758,depts-lib-staff,null
B00623931,null,ALUM
A00434832,null,ALUM
A00434830,null,ALUM
B00623930,null,ALUM
B00081337,null,ALUM
B00261266,null,ALUM
A00372147,null,ALUM
B00849665,null,ALUM
B00081331,null,ALUM
B00273242,null,ALUM
A00434824,null,ALUM
B00370733,null,ALUM
B00622615,null,ALUM
B00369745,null,ALUM
B00622611,null,ALUM
A00407240,null,ALUM
B00887909,null,ALUM
A00471827,null,ALUM
B00043139,null,ALUM
B00297266,null,ALUM
B00332413,null,ALUM
A00471822,null,ALUM
B00875939,null,ALUM
B00369751,null,ALUM
B00333749,null,ALUM
B00370767,null,ALUM
A00001826,null,ALUM
B00836360,null,ALUM
B00079040,null,ALUM
A00445547,null,ALUM
B00080025,null,ALUM
B00082689,null,ALUM
B00488178,null,ALUM
A00444219,null,ALUM
B00082688,null,ALUM
A00420246,null,ALUM
A00097491,null,ALUM
A00084161,null,ALUM
A00386762,null,ALUM
B00370769,null,ALUM
A00385435,null,ALUM
B00321741,null,ALUM
A00434887,null,ALUM
A00408597,null,ALUM
B00622633,null,ALUM
A00001816,null,ALUM
B00044447,null,ALUM
B00044449,null,ALUM
A00407260,null,ALUM
B00357798,null,ALUM
B00488169,"depts-hmds-staff,bannerusers,depts-hmds-staff,bannerusers",null
B00357797,null,ALUM
B00382735,null,ALUM
B00080033,null,ALUM
B00021797,null,ALUM
B00836347,null,ALUM
B00489493,"depts-nsm-fac,depts-chph-fac,depts-nsm-fac,depts-chph-fac",null
B00489492,"depts-ppol-fac,depts-sosc-fac,depts-ppol-fac,depts-sosc-fac",null
A00350794,null,ALUM
A00350795,null,ALUM
B00728193,null,ALUM
A00001801,null,ALUM
B00379123,null,ALUM
B00297214,null,ALUM
B00306102,null,ALUM
B00728190,null,ALUM
B00489488,"depts-nsm-fac,depts-psyc-fac,depts-nsm-fac,depts-psyc-fac",null
B00333711,"depts-grst-staff,bannerusers,depts-grst-staff,bannerusers",ALUM
A00253737,null,ALUM
B00849620,null,ALUM
B00306101,null,ALUM
A00432220,null,ALUM
B00368454,null,ALUM
B00044428,null,ALUM
B00079072,null,ALUM
B00728188,null,ALUM
B00489483,"depts-nsm-fac,depts-chph-fac,depts-nsm-fac,depts-chph-fac",null
B00849637,null,ALUM
B00343181,null,ALUM
A00096117,null,ALUM
B00403217,null,ALUM
A00432277,null,ALUM
B00728137,null,ALUM
A00445594,null,ALUM
B00728133,null,ALUM
B00032422,null,ALUM
B00274516,null,ALUM
B00007472,null,ALUM
B00081395,null,ALUM
B00200287,null,ALUM
B00597256,null,ALUM
A00471871,null,ALUM
B00621343,depts-csch-staff,ALUM
B00032425,null,ALUM
A00432281,null,ALUM
B00236254,null,ALUM
B00212281,null,ALUM
B00032424,null,ALUM
A00097437,null,ALUM
B00430824,null,ALUM
A00227460,null,ALUM
B00415206,null,ALUM
A00097433,null,ALUM
A00445576,null,ALUM
B00080077,null,ALUM
B00236261,null,ALUM
A00457596,null,ALUM
B00236266,null,ALUM
A00457594,null,ALUM
B00236225,null,ALUM
B00428534,null,ALUM
A00097426,null,ALUM
B00345701,null,ALUM
B00020424,null,ALUM
B00345704,null,ALUM
B00345705,null,ALUM
B00188181,null,ALUM
B00249536,null,ALUM
A00456270,null,ALUM
B00331177,null,ALUM
A00445567,null,ALUM
B00441506,null,ALUM
B00236230,null,ALUM
B00838934,null,ALUM
B00430844,null,ALUM
A00074796,null,ALUM
A00097414,null,ALUM
B00345718,null,ALUM
A00446893,null,ALUM
B00345719,null,ALUM
A00468266,null,ALUM
B00299844,null,ALUM
B00249545,null,ALUM
B00251866,null,ALUM
B00331169,null,ALUM
B00249547,null,ALUM
B00250538,null,ALUM
B00250537,null,ALUM
B00188188,null,ALUM
B00032418,null,ALUM
B00717497,null,ALUM
A00086772,null,ALUM
B00404588,null,ALUM
A00456286,null,ALUM
B00237573,null,ALUM
A00072103,null,ALUM
B00345724,null,ALUM
A00035161,null,ALUM
B00007429,null,ALUM
A00036495,null,ALUM
B00092090,null,ALUM
A00469522,null,ALUM
B00248278,null,ALUM
B00190479,depts-trio-staff,null
B00007424,null,ALUM
A00169975,null,ALUM
A00035156,null,ALUM
B00008761,null,ALUM
B00236294,null,ALUM
B00250580,null,ALUM
A00098721,null,ALUM
B00405848,null,ALUM
A00457544,null,ALUM
A00457545,"depts-web-staff,bannerusers,depts-web-staff,bannerusers",ALUM
A00458876,null,ALUM
B00188171,null,ALUM
B00248283,null,ALUM
B00248285,depts-educ-fac,null
A00471846,depts-educ-fac,ALUM
B00007421,null,ALUM
B00164177,null,ALUM
A00086753,null,ALUM
B00621390,null,ALUM
B00332475,null,ALUM
A00062760,null,ALUM
A00062761,null,ALUM
A00457554,null,ALUM
B00620063,"depts-lib-fac,depts-lib-staff,bannerusers,depts-lib-fac,depts-lib-staff,bannerusers",null
A00215443,null,ALUM
B00370700,null,ALUM
B00728114,null,ALUM
B00728116,null,ALUM
A00035187,null,ALUM
B00262553,null,ALUM
B00007450,null,ALUM
B00332464,null,ALUM
B00370708,null,ALUM
A00384165,null,ALUM
A00458890,null,ALUM
B00236277,null,ALUM
A00098706,null,ALUM
B00369701,null,ALUM
A00444277,null,ALUM
B00262542,null,ALUM
A00468224,null,ALUM
B00007443,null,ALUM
A00471867,null,ALUM
B00357733,null,ALUM
B00176171,null,ALUM
B00403210,"depts-mgmt-staff,depts-bus-staff,depts-mgmt-staff,depts-bus-staff",ALUM
B00274520,null,ALUM
B00236641,null,ALUM
B00176499,null,ALUM
B00235315,depts-trio-staff,ALUM
A00000497,null,ALUM
B00212672,null,ALUM
B00428234,null,ALUM
