_changetype,_CUSTOMER1_FISCHER_ROLES_ALUM_VIEW.BANNER_ID,_CUSTOMER1_FISCHER_ROLES_ALUM_VIEW.ROLE
add,A00004577,ALUM
add,A00004585,ALUM
add,A00004588,ALUM
add,A00004589,ALUM
add,A00004593,ALUM
add,A00004612,ALUM
add,A00004639,ALUM
add,A00004712,ALUM
add,A00004744,ALUM
add,A00004767,ALUM
add,A00004797,ALUM
add,A00004887,ALUM
add,A00004906,ALUM
add,A00004941,ALUM
add,A00005055,ALUM
add,A00005139,ALUM
add,A00005159,ALUM
add,A00005217,ALUM
add,A00005235,ALUM
add,A00005268,ALUM
add,A00005272,ALUM
add,A00005282,ALUM
add,A00005408,ALUM
add,A00005426,ALUM
add,A00005438,ALUM
add,A00005465,ALUM
add,A00005503,ALUM
add,A00005719,ALUM
add,A00005837,ALUM
add,A00005924,ALUM
add,A00005969,ALUM
add,A00006051,ALUM
add,A00006172,ALUM
add,A00006178,ALUM
add,A00006195,ALUM
add,A00006216,ALUM
add,A00006224,ALUM
add,A00006241,ALUM
add,A00006248,ALUM
add,A00006280,ALUM
add,A00006283,ALUM
add,A00006345,ALUM
add,A00006417,ALUM
add,A00006508,ALUM
add,A00006529,ALUM
add,A00006561,ALUM
add,A00006691,ALUM
add,A00006719,ALUM
add,A00006728,ALUM
add,A00006767,ALUM
add,A00006932,ALUM
add,A00006947,ALUM
add,A00006964,ALUM
add,A00007002,ALUM
add,A00007004,ALUM
add,A00007015,ALUM
add,A00007092,ALUM
add,A00007187,ALUM
add,A00007208,ALUM
add,A00007216,ALUM
add,A00007239,ALUM
add,A00007260,ALUM
add,A00007341,ALUM
add,A00007398,ALUM
add,A00007419,ALUM
add,A00007446,ALUM
add,A00007481,ALUM
add,A00007626,ALUM
add,A00007632,ALUM
add,A00007656,ALUM
add,A00007711,ALUM
add,A00007739,ALUM
add,A00007756,ALUM
add,A00007775,ALUM
add,A00007830,ALUM
add,A00007833,ALUM
add,A00007842,ALUM
add,A00007882,ALUM
add,A00007907,ALUM
add,A00007914,ALUM
add,A00007976,ALUM
add,A00007987,ALUM
add,A00008061,ALUM
add,A00008123,ALUM
add,A00008144,ALUM
add,A00008162,ALUM
add,A00008193,ALUM
